,positionId,positionName,companyId,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,city,district,salary,workYear,education,positionAdvantage
24,8440038,PHP工程师,1373,上海喜马拉雅科技有限公司,2000人以上,音频｜视频媒体,D轮及以上,开发|测试|运维类,后端开发,PHP,北京,朝阳区,15k-30k,3-5年,本科,有前景 团队好 成长快
25,9343694,php开发工程师,51681,深圳市萌奇文化发展有限公司,50-150人,"移动互联网,文娱丨内容",A轮,开发|测试|运维类,后端开发,后端开发,上海,浦东新区,15k-25k,3-5年,本科,五险一金、团队氛围融洽
26,7390488,php开发工程师,4112,上海韩创网络科技有限公司,500-2000人,内容社区,不需要融资,开发|测试|运维类,后端开发,PHP,上海,浦东新区,14k-20k,3-5年,大专,五险一金、公司下午茶
27,9612295,php开发工程师,614456,江苏九一网络科技有限公司,150-500人,企业服务,A轮,开发|测试|运维类,后端开发,PHP,南京,雨花台区,8k-12k,1-3年,本科,虚拟股权 年底分红 五险一金 周末双休
28,9321957,PHP/GO开发工程师(J10056),117816773,北京微淼财商科技有限公司,2000人以上,教育、数据服务,未融资,开发|测试|运维类,后端开发,PHP,北京,海淀区,18k-35k,3-5年,大专,五险一金 发展空间 氛围好 交通便利
29,9365487,php高级开发工程师,117816773,北京微淼财商科技有限公司,2000人以上,教育、数据服务,未融资,开发|测试|运维类,后端开发,PHP,北京,海淀区,20k-35k,5-10年,本科,团队协作，用户数量大，决策清晰
30,6670355,php开发工程师,550260,广州乐炫网络科技有限公司,50-150人,游戏,未融资,开发|测试|运维类,后端开发,PHP,广州,天河区,10k-18k,3-5年,大专,五险一金 年底双薪 年终奖 包中晚餐
31,8124754,php开发工程师,124652,上海微创软件股份有限公司,2000人以上,IT技术服务｜咨询,不需要融资,开发|测试|运维类,后端开发,PHP,深圳,南山区,12k-14k,1-3年,本科,免费班车，免费早餐，夜宵卷，加班费
32,9497723,php开发工程师,123879511,阿尔西亚（广州）技术有限公司,50-150人,"IT技术服务｜咨询,软件服务｜咨询,人工智能服务",不需要融资,开发|测试|运维类,后端开发,PHP,广州,白云区,7k-12k,不限,本科,高速成长 周末双休 持续学习 人性化管理
33,5989218,PHP开发工程师,525743,建顺信息科技（广州）有限公司,50-150人,"软件服务｜咨询,物流平台",B轮,开发|测试|运维类,后端开发,PHP,广州,天河区,10k-14k,3-5年,大专,弹性工作 五险一金 年终奖金 双休
