,positionId,positionName,companyId,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,city,district,salary,workYear,education,positionAdvantage
204,9568936,c++高级开发工程师,100392,深圳市智城时代科技有限公司,50-150人,工具类产品,不需要融资,开发|测试|运维类,后端开发,C|C++,深圳,南山区,25k-35k,3-5年,本科,16薪制 节日狂欢 福利满溢 成长空间大
205,9571893,c++开发实习生（2022）,100392,深圳市智城时代科技有限公司,50-150人,工具类产品,不需要融资,开发|测试|运维类,后端开发,C|C++,深圳,南山区,8k-15k,1年以下,本科,16薪制 节日狂欢 福利满溢 成长空间大
206,9018937,后端研发工程师（C/C++）,136594,北京方研矩行科技有限公司,15-50人,"软件服务｜咨询,信息安全",A轮,开发|测试|运维类,后端开发,C|C++,北京,朝阳区,15k-20k,不限,本科,六险一金 试用期全薪 带薪年假 发展空间大
207,9500371,c/c++开发工程师,136594,北京方研矩行科技有限公司,15-50人,"软件服务｜咨询,信息安全",A轮,开发|测试|运维类,后端开发,C|C++,北京,朝阳区,15k-20k,1-3年,本科,六险一金、十三薪、带薪年假、晋升空间大
208,7931501,资深C++架构师(J12305),6082,上海二三四五网络科技有限公司,500-2000人,"内容资讯,工具类产品",上市公司,开发|测试|运维类,后端开发,C|C++,上海,浦东新区,30k-60k,5-10年,本科,上市公司，六险一金，平台好发展空间大
209,9498543,c++高级开发工程师,638110,绵阳旭日云科信息技术有限公司,500-2000人,专业服务｜咨询,C轮,开发|测试|运维类,后端开发,C|C++,上海,浦东新区,18k-35k,3-5年,本科,公司福利齐全 不加班
210,9119686,C++服务端开发工程师,235298,成都领沃网络技术有限公司,50-150人,人工智能服务,不需要融资,开发|测试|运维类,后端开发,GO|Golang,成都,高新区,15k-25k,不限,大专,“平台大、系统规模大、产研氛围好、大牛带队”
211,8762728,c++开发工程师,59543,深圳市利谱信息技术有限公司,50-150人,信息安全,未融资,开发|测试|运维类,后端开发,C|C++,深圳,南山区,7k-14k,不限,本科,季度绩效奖金、项目奖金、年终奖金、培训
212,9301085,c++开发工程师,250472,成都众享天地网络科技有限公司,15-50人,移动互联网,未融资,开发|测试|运维类,后端开发,C|C++,成都,郫都区,8k-16k,不限,大专,六险一金 加班费 周末双休 年度调薪
213,7845282,Windows C/C++开发工程师（云安全/成都）(J11493),63041,北京天融信网络安全技术有限公司,2000人以上,"人工智能服务,信息安全,数据服务｜咨询",上市公司,开发|测试|运维类,后端开发,C|C++,成都,武侯区,10k-15k,1-3年,本科,七险一金、试用期全额、年终奖、重点项目
214,7612129,c++开发工程师,120807009,上海零与壹软件有限公司,15-50人,工具类产品,不需要融资,开发|测试|运维类,后端开发,C|C++,上海,闵行区,10k-20k,不限,大专,周末双休、五险一金、节日福利、13薪、带薪年假
