,positionId,positionName,companyId,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,city,district,salary,workYear,education,positionAdvantage
199,9544269,java开发工程师,147,北京拉勾网络技术有限公司,500-2000人,"工具类产品,在线教育",D轮及以上,开发|测试|运维类,后端开发,Java,北京,海淀区,15k-25k,3-5年,本科,大平台挣得多
200,8298687,java开发工程师,171273,兴业数字金融服务（上海）股份有限公司,500-2000人,科技金融,不需要融资,开发|测试|运维类,后端开发,Java,西安,雁塔区,13k-25k,1-3年,本科,科技金融
201,8382174,Java开发工程师,171273,兴业数字金融服务（上海）股份有限公司,500-2000人,科技金融,不需要融资,开发|测试|运维类,后端开发,Java,成都,高新区,10k-18k,在校/应届,本科,Java
202,9405541,java高级开发工程师,147,北京拉勾网络技术有限公司,500-2000人,"工具类产品,在线教育",D轮及以上,开发|测试|运维类,后端开发,Java,北京,海淀区,15k-30k,3-5年,本科,足够的技术挑战和有创造力的团队
203,9349068,java开发工程师,18139,北京京东世纪贸易有限公司,2000人以上,电商平台,上市公司,开发|测试|运维类,后端开发,Java,北京,大兴区,20k-40k,5-10年,本科,发展前景
204,8995535,java高级开发工程师,18139,北京京东世纪贸易有限公司,2000人以上,电商平台,上市公司,开发|测试|运维类,后端开发,Java,北京,通州区,25k-40k,5-10年,本科,五险一金、大厂、班车、餐补、补充医疗、健身房
205,8230142,高级java开发工程师,6927,OPPO广东移动通信有限公司,2000人以上,智能硬件,不需要融资,开发|测试|运维类,后端开发,Java,深圳,南山区,20k-40k,3-5年,本科,大型平台，快速发展
206,8650290,java开发工程师,25028,成都智汇安新科技有限公司,150-500人,"移动互联网,消费生活",C轮,开发|测试|运维类,后端开发,Java,成都,高新区,12k-18k,3-5年,大专,带薪年假 六险一金 员工旅游 公司重点项目
207,9191232,java开发工程师,121968817,北京火舞科技有限公司,15-50人,"软件服务｜咨询,营销服务｜咨询",不需要融资,开发|测试|运维类,后端开发,Java,北京,朝阳区,15k-25k,3-5年,本科,六险一金 补充医疗
208,9163184,高级java开发工程师,194418,北京北控三兴信息技术有限公司,150-500人,"移动互联网,电商",不需要融资,开发|测试|运维类,后端开发,Java,北京,丰台区,15k-25k,3-5年,本科,五险一金全额缴纳、国企背景项目稳定
209,6681939,java开发工程师,37191,上海树维信息科技有限公司,150-500人,"企业服务,教育",上市公司,开发|测试|运维类,后端开发,Java,上海,杨浦区,10k-18k,1-3年,本科,领导nice、定期体检、团建丰富
210,9348694,java工程师,314059,北京云迹科技有限公司,150-500人,人工智能服务,C轮,开发|测试|运维类,后端开发,Java,上海,徐汇区,15k-30k,3-5年,本科,人工智能行业、发展空间大、福利待遇好
211,8603661,高级java开发工程师,59178,泛华保险销售服务集团有限公司,500-2000人,科技金融,上市公司,开发|测试|运维类,后端开发,Java,广州,天河区,12k-17k,3-5年,本科,五险一金，发展空间大，薪酬福利好
212,9538355,java开发工程师,85685,亚创（上海）工程技术有限公司,2000人以上,专业服务｜咨询,上市公司,开发|测试|运维类,后端开发,Java,上海,长宁区,12k-18k,1-3年,本科,外企 做五休二 六险一金 全额社保
213,9584845,高级java开发工程师,13033,浙江菜鸟供应链管理有限公司,2000人以上,物流平台,B轮,开发|测试|运维类,后端开发,Java,杭州,余杭区,20k-40k,3-5年,本科,发展空间大
214,5502034,java开发工程师,211490,深圳市雁联技术服务有限公司,500-2000人,"IT技术服务｜咨询,软件服务｜咨询",不需要融资,开发|测试|运维类,后端开发,Java,深圳,福田区,15k-20k,3-5年,本科,年底双薪、六险一金、周末双休
215,7498770,java开发工程师,211490,深圳市雁联技术服务有限公司,500-2000人,"IT技术服务｜咨询,软件服务｜咨询",不需要融资,开发|测试|运维类,后端开发,Java,深圳,福田区,12k-20k,3-5年,大专,年底双薪，六险一金等
216,9613307,java开发工程师,124401644,北京新珞科技有限公司,15-50人,软件服务｜咨询,未融资,开发|测试|运维类,后端开发,Java,北京,昌平区,10k-15k,3-5年,大专,项目稳定，人员稳定，工作环境佳
217,7164896,java开发工程师,71494,北大医疗信息技术有限公司,500-2000人,"软件服务｜咨询,IT技术服务｜咨询",不需要融资,开发|测试|运维类,后端开发,Java,枣庄,山亭区,7k-14k,3-5年,本科,五险一金 商业保险 晋升空间 餐补
218,6973744,java开发工程师,71494,北大医疗信息技术有限公司,500-2000人,"软件服务｜咨询,IT技术服务｜咨询",不需要融资,开发|测试|运维类,后端开发,Java,银川,西夏区,7k-14k,不限,本科,五险一金； 绩效奖金； 餐补； 定期体检
