,positionId,positionName,companyId,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,city,district,salary,workYear,education,positionAdvantage
65,9629970,前端工程师,34551,北京对啊网教育科技有限公司,500-2000人,在线教育,C轮,开发|测试|运维类,前端开发,WEB前端,北京,,15k-20k,1-3年,大专,入职五险一金 转正六险一金
66,9630028,前端开发工程师,176701,广州天迅网络科技有限公司,50-150人,移动互联网,未融资,开发|测试|运维类,前端开发,WEB前端,广州,,9k-12k,1-3年,本科,五险一金 项目奖金 周末双休 下午茶
67,9323469,前端开发实习生,87029,深圳市有鱼智能科技有限公司,150-500人,科技金融,上市公司,开发|测试|运维类,前端开发,WEB前端,北京,朝阳区,5k-7k,在校/应届,硕士,转正机会
68,9305391,前端开发实习生,62,北京字节跳动网络技术有限公司,2000人以上,"内容资讯,短视频",D轮及以上,开发|测试|运维类,移动前端开发,其他移动前端开发,北京,海淀区,4k-8k,在校/应届,本科,"弹性工作,免费三餐,租房补贴,扁平管理"
69,8763577,前端开发实习生,62,北京字节跳动网络技术有限公司,2000人以上,"内容资讯,短视频",D轮及以上,开发|测试|运维类,移动前端开发,其他移动前端开发,北京,海淀区,6k-12k,在校/应届,本科,"弹性工作,免费三餐,租房补贴,下午茶"
70,8298766,前端开发工程师,171273,兴业数字金融服务（上海）股份有限公司,500-2000人,科技金融,不需要融资,开发|测试|运维类,前端开发,WEB前端,北京,朝阳区,13k-25k,1-3年,本科,科技金融
71,9013073,前端开发工程师,171273,兴业数字金融服务（上海）股份有限公司,500-2000人,科技金融,不需要融资,开发|测试|运维类,前端开发,WEB前端,苏州,工业园区,13k-25k,1-3年,本科,发展前景大
72,9353029,前端开发工程师,9085,广州致景信息科技有限公司,500-2000人,电商平台,D轮及以上,开发|测试|运维类,前端开发,WEB前端,上海,虹口区,18k-35k,3-5年,本科,独角兽 年底双薪 带薪年假
73,9288245,前端开发工程师（实习生）,123746495,广州店控科技有限公司,15-50人,"软件服务｜咨询,IT技术服务｜咨询,数据服务｜咨询",未融资,开发|测试|运维类,前端开发,WEB前端,广州,越秀区,3k-5k,在校/应届,大专,重视每一位人才，提供具市场竞争力高薪资待遇
74,8684102,前端开发实习生,992,广州太平洋电脑信息咨询有限公司,500-2000人,"内容资讯,电商平台,消费生活",上市公司,开发|测试|运维类,前端开发,WEB前端,广州,天河区,3k-4k,在校/应届,本科,发展前景好
75,9323469,前端开发实习生,87029,深圳市有鱼智能科技有限公司,150-500人,科技金融,上市公司,开发|测试|运维类,前端开发,WEB前端,北京,朝阳区,5k-7k,在校/应届,硕士,转正机会
76,9288245,前端开发工程师（实习生）,123746495,广州店控科技有限公司,15-50人,"软件服务｜咨询,IT技术服务｜咨询,数据服务｜咨询",未融资,开发|测试|运维类,前端开发,WEB前端,广州,越秀区,3k-5k,在校/应届,大专,重视每一位人才，提供具市场竞争力高薪资待遇
77,9629789,前端开发工程师,84502297,深圳市法本信息技术股份有限公司,2000人以上,"人工智能服务,IT技术服务｜咨询",上市公司,开发|测试|运维类,前端开发,WEB前端,北京,海淀区,15k-19k,3-5年,本科,金融项目，早九晚六，周末双休
78,8684102,前端开发实习生,992,广州太平洋电脑信息咨询有限公司,500-2000人,"内容资讯,电商平台,消费生活",上市公司,开发|测试|运维类,前端开发,WEB前端,广州,天河区,3k-4k,在校/应届,本科,发展前景好
79,9156758,前端开发工程师,140111,上海黑湖网络科技有限公司,150-500人,"企业服务,数据服务",C轮,开发|测试|运维类,前端开发,WEB前端,上海,静安区,20k-40k,3-5年,本科,技术大牛 主流技术 工业互联网 C轮融资
80,9621729,前端开发工程师,165844,广州市亿博信息技术有限公司,150-500人,移动互联网,不需要融资,开发|测试|运维类,前端开发,WEB前端,上海,徐汇区,10k-13k,1-3年,本科,双休+五险一金
81,8323464,前端开发工程师,73639,深圳市证通电子股份有限公司,500-2000人,"信息安全,科技金融",上市公司,开发|测试|运维类,前端开发,WEB前端,深圳,光明新区,10k-15k,3-5年,本科,上市公司，提供食宿，可以入深圳集体户口
82,8611162,前端工程师,22279,邑盟信息技术（上海）有限公司,500-2000人,"移动互联网,广告营销",D轮及以上,开发|测试|运维类,前端开发,HTML5,北京,朝阳区,20k-30k,3-5年,本科,不打卡 福利待遇好 氛围轻松 同事nice
83,9323783,前端开发工程师,120593385,慧博云通科技股份有限公司,2000人以上,IT技术服务｜咨询,未融资,开发|测试|运维类,前端开发,WEB前端,北京,朝阳区,15k-22k,3-5年,大专,技术提升
84,9542403,前端工程师,1373,上海喜马拉雅科技有限公司,2000人以上,音频｜视频媒体,D轮及以上,开发|测试|运维类,前端开发,WEB前端,北京,朝阳区,15k-30k,不限,本科,团队好 有前景 发展快
85,9529994,前端工程师,418086,上海品览数据科技有限公司,150-500人,"人工智能服务,IT技术服务｜咨询",A轮,开发|测试|运维类,前端开发,WEB前端,成都,高新区,12k-18k,3-5年,大专,交通补贴，五险一金，年终奖
86,9148745,前端开发工程师,84836,广东省广告集团股份有限公司,2000人以上,"营销服务｜咨询,数据服务｜咨询",上市公司,开发|测试|运维类,前端开发,WEB前端,广州,海珠区,10k-15k,1-3年,本科,服务国内大品牌 晋升空间 员工福利
87,9092242,前端开发工程师,62,北京字节跳动网络技术有限公司,2000人以上,"内容资讯,短视频",D轮及以上,开发|测试|运维类,移动前端开发,WEB前端,上海,杨浦区,20k-40k,3-5年,本科,"下午茶,健身瑜伽,六险一金,团队氛围好"
88,7778388,前端工程师,62,北京字节跳动网络技术有限公司,2000人以上,"内容资讯,短视频",D轮及以上,开发|测试|运维类,移动前端开发,WEB前端,上海,杨浦区,20k-40k,3-5年,本科,"团队氛围好,租房补贴,免费三餐,下午茶"
89,8298756,前端开发工程师,171273,兴业数字金融服务（上海）股份有限公司,500-2000人,科技金融,不需要融资,开发|测试|运维类,前端开发,WEB前端,杭州,下城区,13k-25k,1-3年,本科,科技金融
90,9355931,前端开发工程师,203139,中科聚信信息技术（北京）有限公司,50-150人,数据服务｜咨询,B轮,开发|测试|运维类,前端开发,WEB前端,宁波,江北区,10k-15k,1-3年,不限,高薪、补贴、技术高、发展前景好，团队氛围好
91,9459533,前端开发工程师,22862,上海中软华腾软件系统有限公司,2000人以上,IT技术服务｜咨询,上市公司,开发|测试|运维类,前端开发,WEB前端,深圳,福田区,13k-17k,3-5年,大专,双休 项目稳定
92,7944421,前端架构师,62,北京字节跳动网络技术有限公司,2000人以上,"内容资讯,短视频",D轮及以上,开发|测试|运维类,移动前端开发,其他移动前端开发,杭州,余杭区,30k-60k,不限,本科,"下午茶,健身瑜伽,六险一金,五险一金"
93,9250716,前端开发实习生,62,北京字节跳动网络技术有限公司,2000人以上,"内容资讯,短视频",D轮及以上,开发|测试|运维类,移动前端开发,其他移动前端开发,北京,海淀区,8k-16k,在校/应届,本科,"下午茶,健身瑜伽,六险一金,五险一金"
94,8298756,前端开发工程师,171273,兴业数字金融服务（上海）股份有限公司,500-2000人,科技金融,不需要融资,开发|测试|运维类,前端开发,WEB前端,杭州,下城区,13k-25k,1-3年,本科,科技金融
